search(800 sims, branch=24, eval=material, net) vs search(800 sims, branch=24, eval=material) | 200 matches | parties:43,14,42,10 teams | 10 workers
  1/200  2-0  ~7686s left
  5/200  7-3  ~2801s left
  10/200  11-9  ~2063s left
  16/200  16-16  ~1685s left
  21/200  22-20  ~1649s left
  27/200  29-25  ~1539s left
  32/200  36-28  ~1453s left
  36/200  41-31  ~1421s left
  40/200  44-36  ~1419s left
  42/200  46-38  ~1493s left
  47/200  52-42  ~1420s left
  51/200  57-45  ~1375s left
  54/200  60-48  ~1377s left
  60/200  68-52  ~1259s left
  64/200  73-55  ~1212s left
  66/200  74-58  ~1219s left
  71/200  82-60  ~1162s left
  76/200  85-67  ~1097s left
  80/200  88-71  ~1067s left
  85/200  94-75  ~1017s left
  89/200  98-79  ~983s left
  93/200  104-81  ~946s left
  97/200  106-86  ~910s left
  101/200  111-89  ~872s left
  106/200  115-95  ~819s left
  111/200  117-103  ~765s left
  115/200  118-110  ~737s left
  122/200  124-118  ~661s left
  125/200  126-122  ~644s left
  133/200  133-131  ~563s left
  140/200  140-138  ~497s left
  145/200  145-143  ~452s left
  150/200  149-149  ~410s left
  154/200  152-153  ~376s left
  160/200  158-159  ~329s left
  166/200  167-162  ~277s left
  171/200  170-169  ~235s left
  175/200  176-171  ~204s left
  181/200  180-179  ~153s left
  187/200  186-185  ~104s left
  193/200  189-194  ~55s left
  199/200  196-199  ~8s left
  200/200  196-201  ~0s left

  196-201 (3 drawn) over 397 decided games
  49.4% [44.5%, 54.3%]
  not separable from the handcrafted search.
