file	format	rate	rank	source	owner	complete	url
double/Riopaser_s_Starmie_Dragonite_Team.txt	double			pokepaste	riopaser	yes	https://pkmnchamps.com/parties/552c2fb7-2c46-4354-9a83-9400bfe2be4b
double/2100_1st_ranker_Sun_Offense_with_Mega_Charizard_Y.txt	double			x	mihono_suica	yes	https://pkmnchamps.com/parties/5637a3b2-6619-4f0d-aa8b-a1689440bca9
double/Interesting_party_デデンネはかせ_-_데덴네_-_Dedenne.txt	double			x	pamela_emuritto	yes	https://pkmnchamps.com/parties/5d32700d-3621-4fc6-8472-6dbbd48dcf66
double/2000_glaceon__rei_-_Mega_Delphox_and_Floette_Sun.txt	double			x	レイ	yes	https://pkmnchamps.com/parties/5e056508-8e16-4e4e-ae07-f401240342eb
double/UB_SLOW_s_Gengar_Kommo-o_Team.txt	double			pokepaste	ub_slow	yes	https://pkmnchamps.com/parties/5fd7b90e-073d-4cb0-bd02-f7e7dbd3a8fc
double/WayneYu_s_Starmie_Decidueye_Team.txt	double			pokepaste	yuwaynezobel	yes	https://pkmnchamps.com/parties/6356fe36-ff3a-4d24-82b4-c9b13a400ddb
double/Ak_s_Tyranitar_Excadrill_Team.txt	double			pokepaste	xenotrails	yes	https://pkmnchamps.com/parties/668a406b-a59e-4a1b-98e6-204c597f4562
double/Avalos_VGC_s_Gengar_Rain_Team.txt	double			pokepaste	Avalos_VGC	yes	https://pkmnchamps.com/parties/6b9e6390-016e-4dd5-9047-f4be4e4837c8
double/murasaki_s_Starmie_Gengar_Team.txt	double			pokepaste	murasaki5682	yes	https://pkmnchamps.com/parties/6c451999-e8a4-4aca-944e-c6dd5d598ce7
double/Itachi_s_Clefable_Froslass_Team.txt	double			pokepaste	itachivgc	yes	https://pkmnchamps.com/parties/701b29d9-c089-4e3b-afb9-fcf18f3ebfe1
double/soulkw_s_Glimmora_Corviknight_Team.txt	double			pokepaste	Manual Entry	yes	https://pkmnchamps.com/parties/75d8170f-0098-4ff9-b1a1-aa009467c666
double/LenVGC_s_Charizard-Y_Milotic_Team.txt	double			pokepaste	lenvgc	no	https://pkmnchamps.com/parties/76bf324a-847c-438c-9be6-4f17eee34634
double/migawari_s_Gengar_Chesnaught_Team.txt	double			pokepaste	migawari3	yes	https://pkmnchamps.com/parties/7a2871bd-29c4-42fc-a48e-82b8b6d4e1b6
double/db_jecheonjo_s_Alakazam_Snorlax_Team.txt	double			pokepaste	db_jecheonjo	yes	https://pkmnchamps.com/parties/7bbd94b1-7865-49fc-98d9-ef3600349db0
double/Yunittoyuni_s_Floette_Aegislash_Team.txt	double			pokepaste	Yunittoyuni	yes	https://pkmnchamps.com/parties/7d47ffed-ba18-42ae-9f30-03b0ab68ebad
double/luixens_Froslass_Altaria_Team.txt	double			pokepaste	luixens	yes	https://pkmnchamps.com/parties/8914e956-7c43-43d4-82fc-b4d585855488
double/Castorbrown_s_Chesnaught_Feraligatr_Team.txt	double			pokepaste	CastorbrownVGC	yes	https://pkmnchamps.com/parties/8c0c3678-0e6f-468a-be5f-e446b6e30b09
double/gahaku_s_Floette_Tyranitar_Team.txt	double			pokepaste	gahaku_poke	yes	https://pkmnchamps.com/parties/8c6346c1-2f87-4a87-a778-57647cc533cc
double/DDee_s_Gengar_Sneasler_Team.txt	double			pokepaste	ddee_ssbu	yes	https://pkmnchamps.com/parties/8f5b1770-a301-4c27-8bbc-7f413f259ebf
double/daikousin_s_Charizard-Y_Garchomp_Team.txt	double			pokepaste	daikousin45	yes	https://pkmnchamps.com/parties/8f8e0b47-0b37-43e2-88e2-bca7285c03fc
double/Wiltank_s_Froslass_Palafin_Team.txt	double			pokepaste	wiltank	yes	https://pkmnchamps.com/parties/90650c94-9895-43b2-86af-8848a6ea1fea
double/Gardevoir_3710_s_Gardevoir_Charizard-Y_Team.txt	double			pokepaste	gardevoir_3710	yes	https://pkmnchamps.com/parties/96ae91ae-7874-4513-b93e-c5eb24805faa
double/2200_Triple_Mega_Offense_with_Archaludon.txt	double			x	わいあっと	yes	https://pkmnchamps.com/parties/98145ab0-3540-43a1-9612-23ba1d828717
double/2200_kazuki_Trick_Room_Balance.txt	double			x	わとり	yes	https://pkmnchamps.com/parties/98eb6567-dda3-4f2d-8a2d-489f7f38dbcd
double/Yunittoyuni_s_Froslass_Rotom-Frost_Team.txt	double			pokepaste	Yunittoyuni	yes	https://pkmnchamps.com/parties/994e93c5-6bb5-4f00-aa8d-b4e0daab8489
double/ireedminds_Gengar_Rain_Team.txt	double			pokepaste	ireedminds	yes	https://pkmnchamps.com/parties/9cf11e0c-f9a5-403c-a8b3-79a80fded9ce
double/Mattia_s_Charizard-Y_Hydreigon_Team.txt	double			pokepaste	mattyivgc	yes	https://pkmnchamps.com/parties/a1abe1cb-fb8d-47d9-8a9b-982d5a3d2afb
double/spits25_s_Glimmora_Meowscarada_Team.txt	double			pokepaste	spits25	yes	https://pkmnchamps.com/parties/a2634a54-500e-4630-b65e-ef978bf5f7a2
double/paparuo193_s_Charizard-Y_Arcanine_Team.txt	double			pokepaste	paparuo193	no	https://pkmnchamps.com/parties/a6b3de10-9be4-492b-af2c-8bd98a534c48
double/Apex__Dragon_s_Charizard-Y_Gengar_Team.txt	double			pokepaste	Apex__Dragon	yes	https://pkmnchamps.com/parties/aa3a9071-a176-4014-b6c3-fa17ae4a8159
double/cantfly_s_Charizard-Y_Gengar_Team.txt	double			pokepaste	cantfly_ss	yes	https://pkmnchamps.com/parties/b4e82538-61ca-453a-ae78-829ac0af9e8c
double/SparK_s_Glimmora_Araquanid_Team.txt	double			pokepaste	Manual Entry	yes	https://pkmnchamps.com/parties/b696f6df-0696-4b75-b500-b0a42a7bbb4c
double/Kanzaki_s_Tyranitar_Delphox_Team.txt	double			pokepaste	Kanzaki_poke	yes	https://pkmnchamps.com/parties/b8937555-7fcc-47bf-b559-23cc0d4b0185
double/KURO_s_Blastoise_Pelipper_Team.txt	double			pokepaste	f_kc56	yes	https://pkmnchamps.com/parties/bbb18af7-bd72-4a0c-bec0-6d0c714f5769
double/Huyubare_s_Charizard-Y_Garchomp_Team.txt	double			pokepaste	huyubare_poke	yes	https://pkmnchamps.com/parties/bcb667c1-0f46-4b7b-9c5f-0440cefb5062
double/0516edward_s_Charizard-Y_Whimsicott_Team.txt	double			pokepaste	0516edward	yes	https://pkmnchamps.com/parties/bdabfd5b-22ea-47c4-b998-6abcbad05d5f
double/JMOdri_s_Gardevoir_Aegislash_Team.txt	double			pokepaste	JMOdriVGC	no	https://pkmnchamps.com/parties/c0460225-6dcf-4736-b18a-eee2d43dae6e
double/white_shade25_s_Froslass_Talonflame_Team.txt	double			pokepaste	white_shade25	yes	https://pkmnchamps.com/parties/c7341933-6eed-4bba-8596-2724732951ae
double/kurbito_s_Floette_Gyarados_Team.txt	double			pokepaste	kurbitoo	yes	https://pkmnchamps.com/parties/ca82e43f-bd60-405e-8c6e-0fc6b1194392
double/starfish0206_s_Gardevoir_Rain_Team.txt	double			pokepaste	starfish0206	yes	https://pkmnchamps.com/parties/cc969955-105f-4ce7-8497-8347cb43e76f
double/Viera_s_Hawlucha_Excadrill_Team.txt	double			pokepaste	SHADEviera	yes	https://pkmnchamps.com/parties/ce5ac4f3-7dbc-4c2c-8950-69813dd6636e
double/Michael_s_Delphox_Tsareena_Team.txt	double			pokepaste	eternalsnowman	yes	https://pkmnchamps.com/parties/ceb0745b-7b5e-478a-bc2c-400ec5296817
double/2208_Kiyoshiro-Arai_Mega_Charizard_Y_Sun_Offense.txt	double			x	じぇらーる	yes	https://pkmnchamps.com/parties/d0185c56-1a5b-45ca-ad74-f4577918d3ef
double/Maxime_Solemn_s_Floette_Rain_Team.txt	double			pokepaste	MaximeSolemn	yes	https://pkmnchamps.com/parties/d52356c7-0b69-468f-b801-4834a6c59d23
